pekerjaan,tujuan_pinjaman,agunan,tipe_agunan,status_agunan_terburuk,kondisi_agunan,asuransi_agunan,status_lunas_agunan,jumlah_agunan,nilai_agunan,tenor,usia_agunan,agunan_dibanyak_pinjaman,merk_aset,kesediaan_untuk_digadaikan,jenis_asset_bergerak_atau_tidak,aset_maya,riwayat_agunan_sebelumnya,kemudahan_dijual_kembali,kenaikan_nilai_property_agunan,status_kepemilikan_asset,surat_berharga,cluster,cluster_label
Aktor/Publik_Figur/Musisi,Pendidikan,Kendaraan,Berwujud,0.0,Kuat,False,Lunas,9.0,984187.0,12,3,Ya,Merk_I,Tidak,Ya,2.0,Pernah,Kuat,14.0,Pribadi,1.0,1.0,layak
Pelajar,Gaya Hidup,Rekening Tabungan dan Deposito,Berwujud,0.0,Sangat Lemah,False,Belum Lunas,3.0,6065149.0,23,4,Ya,Merk_E,Tidak,Tidak,0.0,Tidak Pernah,Meragukan,5.0,Pribadi,1.0,1.0,layak
Manager/eksekutif,Gaya Hidup,Tanah,Berwujud,0.0,Sangat Lemah,True,Lunas,8.0,122777.0,15,3,Ya,Merk_D,Tidak,Tidak,0.0,Tidak Pernah,Meragukan,5.0,Pribadi,1.0,1.0,layak
Sales/_agen_penjualan_/_pemasaran,Bisnis/Usaha,Bangunan,Berwujud,0.0,Sangat Lemah,False,Belum Lunas,5.0,774881629.0,33,3,Tidak,Merk_C,Tidak,Tidak,0.0,Tidak Pernah,Sangat Lemah,14.0,Pribadi,1.0,1.0,layak
Direktur_/_Komisaris,Pendidikan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Resiko Tinggi,True,Belum Lunas,1.0,22615780.0,27,1,Ya,Merk_H,Tidak,Tidak,1.0,Tidak Pernah,Sangat Lemah,14.0,Non-Pribadi,1.0,1.0,layak
Pensiunan,Pendidikan,Asuransi Jiwa,Tak berwujud,0.0,Lemah,False,Lunas,10.0,17200795.0,26,1,Ya,Merk_H,Tidak,Tidak,2.0,Pernah,Sangat Kuat,12.0,Pribadi,1.0,1.0,layak
Konsultan/Kontraktor/Arsitek,Gaya Hidup,Piutang Usaha,Tak berwujud,0.0,Kuat,False,Lunas,2.0,861131.0,7,1,Ya,Merk_D,Tidak,Ya,0.0,Pernah,Lemah,11.0,Pribadi,1.0,1.0,layak
Staf_penjualan_dan_pemasaran,Tempat Tinggal,Bangunan,Berwujud,0.0,Kuat,False,Lunas,9.0,20096638.0,89,8,Ya,Merk_F,Tidak,Tidak,-1.0,Tidak Pernah,Resiko Tinggi,5.0,Pribadi,1.0,0.0,tidak layak
Petugas_Kebersihan,Kesehatan,Asuransi Jiwa,Tak berwujud,0.0,Sangat Kuat,False,Belum Lunas,7.0,33079179.0,10,1,Ya,Merk_J,Ya,Tidak,0.0,Pernah,Lemah,8.0,Pribadi,1.0,1.0,layak
"Anggota_Parlemen_(DPRD,_DPD,_MPR)",Bisnis/Usaha,Mesin dan Peralatan,Berwujud,0.0,Meragukan,True,Belum Lunas,6.0,220536.0,43,7,Ya,Merk_C,Tidak,Ya,1.0,Pernah,Sangat Kuat,12.0,Non-Pribadi,1.0,1.0,layak
Staf_penjualan_dan_pemasaran,Bisnis/Usaha,Tanah,Berwujud,0.0,Sangat Lemah,False,Lunas,10.0,530864310.0,16,8,Ya,Merk_C,Ya,Ya,1.0,Tidak Pernah,Meragukan,3.0,Non-Pribadi,1.0,1.0,layak
Karyawan_Tetap,Gaya Hidup,Mesin dan Peralatan,Berwujud,0.0,Kuat,False,Lunas,10.0,694543105.0,7,1,Tidak,Merk_E,Tidak,Tidak,2.0,Tidak Pernah,Sangat Kuat,8.0,Non-Pribadi,1.0,1.0,layak
Pelajar,Bisnis/Usaha,Surat Berharga,Tak berwujud,0.0,Cukup,False,Lunas,9.0,17995481.0,27,2,Ya,Merk_B,Tidak,Tidak,2.0,Pernah,Sangat Lemah,7.0,Non-Pribadi,1.0,1.0,layak
Karyawan_Kontrak,Pendidikan,Mesin dan Peralatan,Berwujud,0.0,Kuat,False,Belum Lunas,8.0,42835.0,45,2,Tidak,Merk_I,Tidak,Tidak,1.0,Tidak Pernah,Meragukan,8.0,Non-Pribadi,1.0,1.0,layak
Direktur_Utama_/_Presiden_Komisaris,Kesehatan,Piutang Usaha,Tak berwujud,0.0,Resiko Tinggi,False,Lunas,6.0,5820951.0,20,1,Tidak,Merk_K,Ya,Ya,0.0,Tidak Pernah,Sangat Lemah,20.0,Non-Pribadi,1.0,1.0,layak
Kru_Kapal/Pesawat,Kesehatan,Tanah,Berwujud,0.0,Meragukan,True,Lunas,2.0,3629949.0,9,2,Ya,Merk_J,Ya,Ya,1.0,Tidak Pernah,Sangat Kuat,18.0,Non-Pribadi,1.0,1.0,layak
Kru_Kapal/Pesawat,Bisnis/Usaha,Mesin dan Peralatan,Berwujud,0.0,Lemah,True,Lunas,5.0,3501764.0,58,2,Tidak,Merk_A,Tidak,Ya,1.0,Pernah,Sangat Lemah,19.0,Pribadi,1.0,0.0,tidak layak
Pegawai_Toko,Gaya Hidup,Kendaraan,Berwujud,0.0,Cukup,True,Lunas,5.0,227203618.0,7,3,Ya,Merk_E,Ya,Ya,2.0,Tidak Pernah,Cukup,14.0,Non-Pribadi,1.0,1.0,layak
Kru_Kapal/Pesawat,Tempat Tinggal,Kendaraan,Berwujud,0.0,Resiko Tinggi,False,Lunas,8.0,92014.0,66,7,Tidak,Merk_G,Tidak,Ya,2.0,Pernah,Kuat,6.0,Pribadi,1.0,0.0,tidak layak
Pelajar,Bisnis/Usaha,Asuransi Jiwa,Tak berwujud,0.0,Sangat Lemah,False,Lunas,10.0,213119727.0,59,6,Ya,Merk_A,Tidak,Ya,2.0,Pernah,Meragukan,10.0,Non-Pribadi,1.0,0.0,tidak layak
Ibu_Rumah_Tangga,Tempat Tinggal,Asuransi Jiwa,Tak berwujud,0.0,Kuat,True,Lunas,9.0,72996182.0,54,12,Tidak,Merk_G,Ya,Ya,2.0,Tidak Pernah,Cukup,7.0,Non-Pribadi,1.0,0.0,tidak layak
Petugas_Kebersihan,Tempat Tinggal,Bangunan,Berwujud,0.0,Resiko Tinggi,True,Belum Lunas,6.0,118419232.0,38,8,Ya,Merk_F,Ya,Tidak,1.0,Tidak Pernah,Kuat,5.0,Non-Pribadi,1.0,1.0,layak
Pemilik/Owner/Self-emplyment,Tempat Tinggal,Bangunan,Berwujud,0.0,Cukup,False,Lunas,1.0,7073786.0,83,17,Ya,Merk_G,Tidak,Tidak,-1.0,Pernah,Resiko Tinggi,12.0,Pribadi,1.0,0.0,tidak layak
Manager/eksekutif,Bisnis/Usaha,Rumah,Berwujud,0.0,Lemah,False,Lunas,5.0,21989857.0,44,2,Ya,Merk_A,Tidak,Ya,1.0,Tidak Pernah,Sangat Kuat,11.0,Pribadi,1.0,1.0,layak
Notaris,Bisnis/Usaha,Bangunan,Berwujud,0.0,Resiko Tinggi,False,Belum Lunas,8.0,848566186.0,15,6,Ya,Merk_C,Tidak,Tidak,-1.0,Tidak Pernah,Meragukan,6.0,Non-Pribadi,1.0,1.0,layak
Sales/_agen_penjualan_/_pemasaran,Kesehatan,Bangunan,Berwujud,0.0,Cukup,False,Belum Lunas,6.0,7528715.0,23,2,Tidak,Merk_J,Tidak,Ya,0.0,Tidak Pernah,Lemah,8.0,Non-Pribadi,1.0,1.0,layak
TNI/Polri,Gaya Hidup,Asuransi Jiwa,Tak berwujud,0.0,Sangat Lemah,True,Belum Lunas,3.0,841297.0,16,3,Tidak,Merk_D,Tidak,Ya,-1.0,Tidak Pernah,Sangat Kuat,13.0,Pribadi,1.0,1.0,layak
Notaris,Gaya Hidup,Rumah,Berwujud,0.0,Kuat,True,Lunas,5.0,629359554.0,11,3,Tidak,Merk_E,Tidak,Ya,0.0,Pernah,Lemah,9.0,Pribadi,1.0,1.0,layak
Pekerjaan_Bangunan/Pabrik/Tambang/Operator_Mesin/Teknisi/Montir,Kesehatan,Piutang Usaha,Tak berwujud,0.0,Meragukan,True,Lunas,6.0,6393014.0,16,2,Ya,Merk_J,Ya,Tidak,-1.0,Tidak Pernah,Sangat Lemah,13.0,Non-Pribadi,1.0,1.0,layak
Karyawan_Kontrak,Kesehatan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Cukup,False,Belum Lunas,2.0,2836758.0,17,2,Ya,Merk_J,Tidak,Tidak,0.0,Pernah,Sangat Lemah,4.0,Non-Pribadi,1.0,1.0,layak
Sales/_agen_penjualan_/_pemasaran,Kesehatan,Kendaraan,Berwujud,0.0,Kuat,False,Belum Lunas,1.0,27599517.0,23,2,Tidak,Merk_J,Ya,Ya,-1.0,Pernah,Sangat Lemah,4.0,Pribadi,1.0,1.0,layak
Staf_administrasi_resepsionanis_sekretaris,Gaya Hidup,Piutang Usaha,Tak berwujud,0.0,Lemah,False,Belum Lunas,2.0,464724017.0,18,3,Ya,Merk_D,Tidak,Tidak,-1.0,Tidak Pernah,Sangat Kuat,16.0,Non-Pribadi,1.0,1.0,layak
Notaris,Kesehatan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Sangat Kuat,True,Belum Lunas,6.0,26351445.0,15,1,Tidak,Merk_K,Tidak,Tidak,0.0,Pernah,Sangat Lemah,1.0,Non-Pribadi,1.0,1.0,layak
Petugas_Keamanan,Tempat Tinggal,Rekening Tabungan dan Deposito,Berwujud,0.0,Meragukan,False,Belum Lunas,9.0,7025669.0,92,12,Ya,Merk_F,Ya,Ya,0.0,Pernah,Kuat,20.0,Non-Pribadi,1.0,0.0,tidak layak
Pengacara/Konsultan_Hukum/Pejabat_di_Pengadilan,Pendidikan,Piutang Usaha,Tak berwujud,0.0,Meragukan,False,Belum Lunas,2.0,196113926.0,22,1,Ya,Merk_I,Ya,Tidak,-1.0,Pernah,Sangat Kuat,7.0,Pribadi,1.0,1.0,layak
Staf_penjualan_dan_pemasaran,Pendidikan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Sangat Kuat,False,Lunas,8.0,913090428.0,12,3,Tidak,Merk_H,Ya,Ya,-1.0,Tidak Pernah,Cukup,18.0,Pribadi,1.0,1.0,layak
Pemilik/Owner/Self-emplyment,Gaya Hidup,Kendaraan,Berwujud,0.0,Sangat Kuat,False,Lunas,8.0,235946189.0,10,4,Ya,Merk_D,Tidak,Tidak,0.0,Pernah,Sangat Lemah,15.0,Non-Pribadi,1.0,1.0,layak
Pensiunan,Bisnis/Usaha,Surat Berharga,Tak berwujud,0.0,Sangat Kuat,True,Lunas,7.0,75033041.0,48,7,Tidak,Merk_A,Tidak,Ya,0.0,Tidak Pernah,Lemah,16.0,Non-Pribadi,1.0,1.0,layak
Direktur_/_Komisaris,Bisnis/Usaha,Asuransi Jiwa,Tak berwujud,0.0,Meragukan,False,Lunas,8.0,15221653.0,29,4,Ya,Merk_B,Ya,Tidak,0.0,Pernah,Sangat Kuat,16.0,Pribadi,1.0,1.0,layak
Karyawan_Tetap,Pendidikan,Surat Berharga,Tak berwujud,0.0,Resiko Tinggi,True,Belum Lunas,2.0,745179825.0,28,2,Tidak,Merk_I,Tidak,Tidak,1.0,Pernah,Resiko Tinggi,5.0,Non-Pribadi,1.0,1.0,layak
Supervisor/asisten_manager,Tempat Tinggal,Piutang Usaha,Tak berwujud,0.0,Resiko Tinggi,True,Lunas,10.0,8504745.0,88,14,Ya,Merk_G,Tidak,Tidak,2.0,Tidak Pernah,Resiko Tinggi,13.0,Pribadi,1.0,0.0,tidak layak
Aktor/Publik_Figur/Musisi,Tempat Tinggal,Tanah,Berwujud,0.0,Sangat Kuat,True,Lunas,3.0,4074275.0,102,20,Ya,Merk_F,Tidak,Ya,0.0,Tidak Pernah,Resiko Tinggi,10.0,Pribadi,1.0,0.0,tidak layak
"Anggota_Parlemen_(DPRD,_DPD,_MPR)",Pendidikan,Tanah,Berwujud,0.0,Lemah,False,Lunas,1.0,638575.0,30,1,Ya,Merk_I,Ya,Tidak,0.0,Pernah,Kuat,15.0,Pribadi,1.0,1.0,layak
Wiraswasta,Pendidikan,Rumah,Berwujud,0.0,Sangat Kuat,True,Lunas,5.0,320411.0,35,2,Ya,Merk_H,Tidak,Tidak,1.0,Pernah,Meragukan,15.0,Non-Pribadi,1.0,1.0,layak
Direktur_/_Komisaris,Kesehatan,Rekening Tabungan dan Deposito,Berwujud,0.0,Resiko Tinggi,True,Lunas,7.0,792161908.0,18,1,Tidak,Merk_K,Ya,Ya,1.0,Pernah,Cukup,3.0,Non-Pribadi,1.0,1.0,layak
Akuntan/Akuntan_Publik/Auditor,Kesehatan,Surat Berharga,Tak berwujud,0.0,Resiko Tinggi,False,Belum Lunas,7.0,362342929.0,6,1,Ya,Merk_K,Ya,Tidak,2.0,Pernah,Sangat Kuat,6.0,Non-Pribadi,1.0,1.0,layak
Pekerjaan_Bangunan/Pabrik/Tambang/Operator_Mesin/Teknisi/Montir,Tempat Tinggal,Surat Berharga,Tak berwujud,0.0,Cukup,True,Lunas,7.0,699298572.0,52,14,Tidak,Merk_F,Tidak,Tidak,0.0,Tidak Pernah,Sangat Kuat,12.0,Non-Pribadi,1.0,0.0,tidak layak
Pelajar,Bisnis/Usaha,Piutang Usaha,Tak berwujud,0.0,Lemah,True,Belum Lunas,5.0,6148548.0,22,8,Ya,Merk_B,Tidak,Ya,1.0,Tidak Pernah,Resiko Tinggi,17.0,Non-Pribadi,1.0,1.0,layak
Driver/Pengemudi/Supir/Kurir,Gaya Hidup,Hak Kekayaan Intelektual,Tak berwujud,0.0,Sangat Lemah,False,Belum Lunas,8.0,8366580.0,14,2,Ya,Merk_D,Ya,Tidak,2.0,Tidak Pernah,Meragukan,6.0,Pribadi,1.0,1.0,layak
Kru_Kapal/Pesawat,Bisnis/Usaha,Surat Berharga,Tak berwujud,0.0,Cukup,True,Belum Lunas,7.0,70750954.0,59,9,Tidak,Merk_B,Tidak,Tidak,-1.0,Tidak Pernah,Meragukan,15.0,Non-Pribadi,1.0,0.0,tidak layak
Pelajar,Gaya Hidup,Mesin dan Peralatan,Berwujud,0.0,Cukup,True,Belum Lunas,2.0,400697833.0,6,3,Ya,Merk_D,Tidak,Ya,2.0,Pernah,Cukup,13.0,Pribadi,1.0,1.0,layak
Professional/Agen/Mitra,Pendidikan,Asuransi Jiwa,Tak berwujud,0.0,Sangat Kuat,False,Lunas,5.0,54233.0,33,2,Ya,Merk_I,Tidak,Ya,-1.0,Tidak Pernah,Sangat Lemah,20.0,Non-Pribadi,1.0,1.0,layak
Akuntan/Akuntan_Publik/Auditor,Pendidikan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Sangat Lemah,True,Belum Lunas,9.0,752779.0,39,3,Tidak,Merk_H,Ya,Ya,0.0,Pernah,Kuat,10.0,Pribadi,1.0,1.0,layak
Konsultan/Kontraktor/Arsitek,Kesehatan,Rekening Tabungan dan Deposito,Berwujud,0.0,Resiko Tinggi,False,Lunas,4.0,8227408.0,11,1,Ya,Merk_J,Tidak,Tidak,1.0,Tidak Pernah,Sangat Kuat,17.0,Non-Pribadi,1.0,1.0,layak
Dokter,Gaya Hidup,Kendaraan,Berwujud,0.0,Resiko Tinggi,True,Lunas,6.0,7302934.0,19,3,Tidak,Merk_E,Ya,Ya,1.0,Pernah,Sangat Lemah,4.0,Pribadi,1.0,1.0,layak
TNI/Polri,Bisnis/Usaha,Hak Kekayaan Intelektual,Tak berwujud,0.0,Kuat,False,Belum Lunas,6.0,620234517.0,30,6,Ya,Merk_C,Ya,Ya,1.0,Pernah,Sangat Kuat,15.0,Pribadi,1.0,1.0,layak
Karyawan_Kontrak,Kesehatan,Tanah,Berwujud,0.0,Lemah,False,Lunas,7.0,985904446.0,17,1,Ya,Merk_K,Ya,Tidak,1.0,Pernah,Resiko Tinggi,5.0,Non-Pribadi,1.0,1.0,layak
Direktur_/_Komisaris,Pendidikan,Kendaraan,Berwujud,0.0,Lemah,False,Belum Lunas,10.0,939119.0,25,2,Ya,Merk_I,Tidak,Ya,2.0,Tidak Pernah,Meragukan,16.0,Pribadi,1.0,1.0,layak
TNI/Polri,Pendidikan,Rekening Tabungan dan Deposito,Berwujud,0.0,Lemah,True,Lunas,8.0,91972315.0,28,2,Tidak,Merk_I,Tidak,Tidak,-1.0,Tidak Pernah,Cukup,15.0,Pribadi,1.0,1.0,layak
Karyawan_Tetap,Bisnis/Usaha,Rekening Tabungan dan Deposito,Berwujud,0.0,Kuat,True,Belum Lunas,3.0,8655587.0,12,1,Tidak,Merk_C,Tidak,Ya,2.0,Pernah,Kuat,20.0,Pribadi,1.0,1.0,layak
Pelajar,Bisnis/Usaha,Bangunan,Berwujud,0.0,Kuat,True,Lunas,3.0,593471.0,27,10,Tidak,Merk_C,Tidak,Ya,2.0,Pernah,Lemah,19.0,Non-Pribadi,1.0,1.0,layak
Staf_penjualan_dan_pemasaran,Pendidikan,Rumah,Berwujud,0.0,Meragukan,True,Belum Lunas,1.0,89422455.0,37,3,Ya,Merk_I,Ya,Tidak,1.0,Pernah,Resiko Tinggi,2.0,Non-Pribadi,1.0,1.0,layak
Karyawan_Kontrak,Tempat Tinggal,Kendaraan,Berwujud,0.0,Kuat,True,Lunas,1.0,714077655.0,51,7,Ya,Merk_G,Tidak,Ya,-1.0,Tidak Pernah,Resiko Tinggi,3.0,Non-Pribadi,1.0,1.0,layak
Notaris,Kesehatan,Rumah,Berwujud,0.0,Resiko Tinggi,True,Lunas,8.0,6772944.0,13,2,Ya,Merk_J,Ya,Ya,1.0,Pernah,Kuat,15.0,Pribadi,1.0,1.0,layak
Petugas_Kebersihan,Pendidikan,Surat Berharga,Tak berwujud,0.0,Cukup,False,Belum Lunas,7.0,139793333.0,13,2,Tidak,Merk_H,Ya,Ya,2.0,Tidak Pernah,Cukup,10.0,Pribadi,1.0,1.0,layak
Pemilik/Owner/Self-emplyment,Bisnis/Usaha,Hak Kekayaan Intelektual,Tak berwujud,0.0,Sangat Kuat,False,Belum Lunas,1.0,64887330.0,35,7,Ya,Merk_A,Tidak,Tidak,1.0,Pernah,Cukup,4.0,Pribadi,1.0,1.0,layak
Petugas_Keamanan,Pendidikan,Surat Berharga,Tak berwujud,0.0,Sangat Lemah,False,Belum Lunas,6.0,6376891.0,19,2,Tidak,Merk_H,Tidak,Ya,2.0,Tidak Pernah,Sangat Kuat,15.0,Pribadi,1.0,1.0,layak
Staf_Lainnya,Tempat Tinggal,Kendaraan,Berwujud,0.0,Lemah,False,Belum Lunas,4.0,914921736.0,89,12,Tidak,Merk_G,Tidak,Tidak,1.0,Pernah,Meragukan,20.0,Pribadi,1.0,0.0,tidak layak
Staf_Lainnya,Tempat Tinggal,Mesin dan Peralatan,Berwujud,0.0,Sangat Lemah,False,Lunas,7.0,7882865.0,100,19,Ya,Merk_G,Tidak,Tidak,0.0,Tidak Pernah,Sangat Kuat,11.0,Pribadi,1.0,0.0,tidak layak
Pegawai_Negeri_Sipil,Tempat Tinggal,Piutang Usaha,Tak berwujud,0.0,Sangat Kuat,True,Lunas,3.0,4755449.0,83,11,Tidak,Merk_F,Ya,Ya,0.0,Tidak Pernah,Sangat Lemah,9.0,Non-Pribadi,1.0,0.0,tidak layak
Kru_Kapal/Pesawat,Pendidikan,Kendaraan,Berwujud,0.0,Resiko Tinggi,True,Belum Lunas,4.0,744808.0,33,3,Tidak,Merk_H,Ya,Tidak,0.0,Tidak Pernah,Cukup,10.0,Pribadi,1.0,1.0,layak
Konsultan/Kontraktor/Arsitek,Kesehatan,Surat Berharga,Tak berwujud,0.0,Meragukan,False,Lunas,8.0,284069377.0,16,1,Ya,Merk_K,Tidak,Tidak,-1.0,Tidak Pernah,Lemah,5.0,Pribadi,1.0,1.0,layak
Dokter,Tempat Tinggal,Tanah,Berwujud,0.0,Meragukan,True,Lunas,4.0,2489996.0,115,7,Ya,Merk_F,Ya,Tidak,0.0,Pernah,Kuat,7.0,Non-Pribadi,1.0,0.0,tidak layak
Dokter,Tempat Tinggal,Mesin dan Peralatan,Berwujud,0.0,Sangat Lemah,False,Belum Lunas,8.0,14368211.0,35,14,Tidak,Merk_G,Ya,Ya,-1.0,Pernah,Meragukan,8.0,Pribadi,1.0,1.0,layak
"Anggota_Parlemen_(DPRD,_DPD,_MPR)",Kesehatan,Rumah,Berwujud,0.0,Resiko Tinggi,False,Belum Lunas,1.0,704830146.0,14,2,Ya,Merk_J,Tidak,Ya,1.0,Pernah,Lemah,16.0,Pribadi,1.0,1.0,layak
Direktur_Utama_/_Presiden_Komisaris,Tempat Tinggal,Bangunan,Berwujud,0.0,Meragukan,True,Lunas,8.0,92166751.0,25,13,Ya,Merk_G,Tidak,Ya,1.0,Pernah,Resiko Tinggi,0.0,Pribadi,1.0,1.0,layak
Tidak_Bekerja,Kesehatan,Rumah,Berwujud,0.0,Meragukan,False,Belum Lunas,3.0,8659639.0,7,2,Ya,Merk_K,Tidak,Tidak,2.0,Tidak Pernah,Lemah,9.0,Non-Pribadi,1.0,1.0,layak
Pelajar,Kesehatan,Bangunan,Berwujud,0.0,Lemah,True,Lunas,6.0,3255374.0,23,2,Tidak,Merk_K,Ya,Tidak,0.0,Pernah,Meragukan,12.0,Pribadi,1.0,1.0,layak
Sales/_agen_penjualan_/_pemasaran,Bisnis/Usaha,Mesin dan Peralatan,Berwujud,0.0,Sangat Lemah,False,Belum Lunas,3.0,30172125.0,13,9,Tidak,Merk_B,Tidak,Tidak,1.0,Tidak Pernah,Cukup,8.0,Pribadi,1.0,1.0,layak
Dokter,Pendidikan,Bangunan,Berwujud,0.0,Cukup,True,Belum Lunas,2.0,929198498.0,33,3,Ya,Merk_H,Ya,Ya,1.0,Pernah,Cukup,14.0,Pribadi,1.0,1.0,layak
"Anggota_Parlemen_(DPRD,_DPD,_MPR)",Pendidikan,Rekening Tabungan dan Deposito,Berwujud,0.0,Lemah,True,Belum Lunas,1.0,449078.0,24,1,Ya,Merk_H,Ya,Tidak,-1.0,Pernah,Sangat Kuat,18.0,Pribadi,1.0,1.0,layak
Wiraswasta,Kesehatan,Rekening Tabungan dan Deposito,Berwujud,0.0,Sangat Lemah,True,Lunas,9.0,35098799.0,13,2,Ya,Merk_K,Tidak,Tidak,2.0,Pernah,Lemah,17.0,Pribadi,1.0,1.0,layak
Karyawan_Kontrak,Gaya Hidup,Rekening Tabungan dan Deposito,Berwujud,0.0,Sangat Kuat,False,Belum Lunas,5.0,566761676.0,20,1,Ya,Merk_E,Tidak,Ya,0.0,Tidak Pernah,Sangat Kuat,14.0,Pribadi,1.0,1.0,layak
Konsultan/Kontraktor/Arsitek,Gaya Hidup,Tanah,Berwujud,0.0,Meragukan,False,Lunas,2.0,4893368.0,12,5,Tidak,Merk_D,Tidak,Ya,2.0,Pernah,Sangat Kuat,11.0,Pribadi,1.0,1.0,layak
Karyawan_Tetap,Gaya Hidup,Mesin dan Peralatan,Berwujud,0.0,Lemah,True,Belum Lunas,3.0,287363.0,18,1,Ya,Merk_D,Tidak,Tidak,2.0,Tidak Pernah,Cukup,8.0,Non-Pribadi,1.0,1.0,layak
Pensiunan,Gaya Hidup,Surat Berharga,Tak berwujud,0.0,Resiko Tinggi,True,Belum Lunas,10.0,168135978.0,13,2,Ya,Merk_E,Ya,Tidak,2.0,Tidak Pernah,Sangat Lemah,20.0,Pribadi,1.0,1.0,layak
Staf_administrasi_resepsionanis_sekretaris,Kesehatan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Lemah,True,Belum Lunas,10.0,89405846.0,18,1,Ya,Merk_K,Ya,Ya,0.0,Tidak Pernah,Kuat,18.0,Pribadi,1.0,1.0,layak
Pekerjaan_Bangunan/Pabrik/Tambang/Operator_Mesin/Teknisi/Montir,Pendidikan,Bangunan,Berwujud,0.0,Kuat,False,Belum Lunas,6.0,48989388.0,16,1,Tidak,Merk_H,Ya,Tidak,2.0,Tidak Pernah,Lemah,6.0,Non-Pribadi,1.0,1.0,layak
Akuntan/Akuntan_Publik/Auditor,Kesehatan,Surat Berharga,Tak berwujud,0.0,Lemah,False,Belum Lunas,7.0,1354908.0,22,2,Tidak,Merk_J,Ya,Tidak,-1.0,Pernah,Lemah,18.0,Non-Pribadi,1.0,1.0,layak
Supervisor/asisten_manager,Pendidikan,Piutang Usaha,Tak berwujud,0.0,Lemah,False,Lunas,5.0,630382.0,36,1,Ya,Merk_I,Ya,Ya,0.0,Tidak Pernah,Meragukan,17.0,Pribadi,1.0,1.0,layak
Karyawan_Kontrak,Kesehatan,Mesin dan Peralatan,Berwujud,0.0,Resiko Tinggi,True,Lunas,7.0,3524210.0,11,1,Tidak,Merk_J,Tidak,Ya,1.0,Tidak Pernah,Sangat Kuat,0.0,Non-Pribadi,1.0,1.0,layak
"Anggota_Parlemen_(DPRD,_DPD,_MPR)",Bisnis/Usaha,Piutang Usaha,Tak berwujud,0.0,Sangat Lemah,True,Lunas,4.0,7146725.0,36,3,Tidak,Merk_A,Tidak,Ya,-1.0,Pernah,Sangat Kuat,2.0,Pribadi,1.0,1.0,layak
Pensiunan,Tempat Tinggal,Surat Berharga,Tak berwujud,0.0,Sangat Lemah,True,Belum Lunas,5.0,800464879.0,93,16,Ya,Merk_F,Tidak,Ya,-1.0,Tidak Pernah,Resiko Tinggi,19.0,Non-Pribadi,1.0,0.0,tidak layak
Petugas_Kebersihan,Kesehatan,Asuransi Jiwa,Tak berwujud,0.0,Meragukan,False,Lunas,1.0,1052933.0,18,1,Tidak,Merk_K,Tidak,Tidak,1.0,Tidak Pernah,Meragukan,15.0,Pribadi,1.0,1.0,layak
Pegawai_Negeri_Sipil,Pendidikan,Rekening Tabungan dan Deposito,Berwujud,0.0,Meragukan,False,Belum Lunas,10.0,138225715.0,26,2,Ya,Merk_I,Tidak,Tidak,2.0,Pernah,Meragukan,0.0,Non-Pribadi,1.0,1.0,layak
Pensiunan,Kesehatan,Rumah,Berwujud,0.0,Sangat Lemah,False,Belum Lunas,3.0,90893.0,24,2,Ya,Merk_K,Ya,Tidak,0.0,Pernah,Sangat Kuat,2.0,Non-Pribadi,1.0,1.0,layak
Akuntan/Akuntan_Publik/Auditor,Pendidikan,Hak Kekayaan Intelektual,Tak berwujud,0.0,Resiko Tinggi,False,Lunas,9.0,887140697.0,44,2,Ya,Merk_I,Tidak,Ya,2.0,Tidak Pernah,Kuat,11.0,Pribadi,1.0,1.0,layak
Ibu_Rumah_Tangga,Bisnis/Usaha,Rekening Tabungan dan Deposito,Berwujud,0.0,Resiko Tinggi,False,Lunas,8.0,17782685.0,23,2,Ya,Merk_C,Ya,Ya,2.0,Pernah,Sangat Lemah,6.0,Non-Pribadi,1.0,1.0,layak
Staf_administrasi_resepsionanis_sekretaris,Pendidikan,Bangunan,Berwujud,0.0,Lemah,False,Belum Lunas,10.0,831693.0,14,2,Ya,Merk_I,Ya,Tidak,2.0,Pernah,Sangat Kuat,1.0,Pribadi,1.0,1.0,layak
Staf_penjualan_dan_pemasaran,Tempat Tinggal,Tanah,Berwujud,0.0,Sangat Lemah,True,Belum Lunas,6.0,847532023.0,30,13,Tidak,Merk_G,Ya,Tidak,2.0,Tidak Pernah,Resiko Tinggi,12.0,Pribadi,1.0,1.0,layak
Pegawai_Toko,Tempat Tinggal,Asuransi Jiwa,Tak berwujud,0.0,Sangat Kuat,False,Belum Lunas,2.0,25917914.0,119,16,Ya,Merk_G,Ya,Tidak,1.0,Pernah,Meragukan,18.0,Non-Pribadi,1.0,0.0,tidak layak
Tidak_Bekerja,Tempat Tinggal,Rekening Tabungan dan Deposito,Berwujud,0.0,Kuat,False,Belum Lunas,9.0,95266.0,100,18,Ya,Merk_G,Tidak,Ya,-1.0,Tidak Pernah,Resiko Tinggi,14.0,Non-Pribadi,1.0,0.0,tidak layak
